Activity Date,Process Date,Settle Date,Instrument,Description,Trans Code,Quantity,Price,Amount,
9/16/2022,9/16/2022,9/20/2022,VOOG,"Vanguard S&P 500 Growth ETF
CUSIP: 921932505
Bulk Equity Order Allocation Execution",Buy,0.134111,$223.69 ,($30.00),
9/16/2022,9/16/2022,9/20/2022,VOO,"Vanguard S&P 500 ETF
CUSIP: 922908363
Bulk Equity Order Allocation Execution",Buy,0.084878,$353.45 ,($30.00),
9/16/2022,9/16/2022,9/20/2022,MSFT,"Microsoft
CUSIP: 594918104
Bulk Equity Order Allocation Execution",Buy,0.061904,$242.31 ,($15.00),
9/16/2022,9/16/2022,9/16/2022,,ACH Deposit,ACH,,,$75.00 ,
9/9/2022,9/9/2022,9/13/2022,MSFT,"Microsoft
CUSIP: 594918104
Bulk Equity Order Allocation Execution",Buy,0.013213,$262.61 ,($3.47),
9/8/2022,9/8/2022,9/8/2022,MSFT,Cash Div: R/D 2022-08-18 P/D 2022-09-08 - 5.588779 shares at 0.62,CDIV,,,$3.47 ,
9/2/2022,9/2/2022,9/7/2022,MSFT,"Microsoft
CUSIP: 594918104
Bulk Equity Order Allocation Execution",Buy,0.058266,$257.44 ,($15.00),
9/2/2022,9/2/2022,9/7/2022,VOO,"Vanguard S&P 500 ETF
CUSIP: 922908363
Bulk Equity Order Allocation Execution",Buy,0.082951,$361.66 ,($30.00),
9/2/2022,9/2/2022,9/7/2022,VOOG,"Vanguard S&P 500 Growth ETF
CUSIP: 921932505
Bulk Equity Order Allocation Execution",Buy,0.130083,$230.62 ,($30.00),
9/2/2022,9/2/2022,9/2/2022,,ACH Deposit,ACH,,,$75.00 ,
8/19/2022,8/19/2022,8/23/2022,VOO,"Vanguard S&P 500 ETF
CUSIP: 922908363
Bulk Equity Order Allocation Execution",Buy,0.077269,$388.26 ,($30.00),
8/19/2022,8/19/2022,8/23/2022,VOOG,"Vanguard S&P 500 Growth ETF
CUSIP: 921932505
Bulk Equity Order Allocation Execution",Buy,0.11945,$251.15 ,($30.00),
8/19/2022,8/19/2022,8/23/2022,MSFT,"Microsoft
CUSIP: 594918104
Bulk Equity Order Allocation Execution",Buy,0.052486,$285.79 ,($15.00),
